Files already downloaded and verified
Files already downloaded and verified
Epoch [6/20], Step [600/782], Loss: 0.4798
Epoch [6/20], Step [700/782], Loss: 0.4910
Epoch [6/20] completed. Training Accuracy: 88.42%
Epoch [7/20], Step [100/782], Loss: 0.3637
Epoch [7/20], Step [200/782], Loss: 0.3693
Epoch [7/20], Step [300/782], Loss: 0.3902
Epoch [7/20], Step [400/782], Loss: 0.3826
Epoch [7/20], Step [500/782], Loss: 0.4089
Epoch [7/20], Step [600/782], Loss: 0.3974
Epoch [7/20], Step [700/782], Loss: 0.4037
Epoch [7/20] completed. Training Accuracy: 90.34%
Epoch [8/20], Step [100/782], Loss: 0.2920
Epoch [8/20], Step [200/782], Loss: 0.2781
Epoch [8/20], Step [300/782], Loss: 0.3068
Epoch [8/20], Step [400/782], Loss: 0.3119
Epoch [8/20], Step [500/782], Loss: 0.3163
Epoch [8/20], Step [600/782], Loss: 0.3315
Epoch [8/20], Step [700/782], Loss: 0.3294
Epoch [8/20] completed. Training Accuracy: 92.39%
Epoch [9/20], Step [100/782], Loss: 0.2116
Epoch [9/20], Step [200/782], Loss: 0.2013
Epoch [9/20], Step [300/782], Loss: 0.2238
Epoch [9/20], Step [400/782], Loss: 0.2326
Epoch [9/20], Step [500/782], Loss: 0.2372
Epoch [9/20], Step [600/782], Loss: 0.2577
Epoch [9/20], Step [700/782], Loss: 0.2762
Epoch [9/20] completed. Training Accuracy: 95.51%
Epoch [10/20], Step [100/782], Loss: 0.1567
Epoch [10/20], Step [200/782], Loss: 0.1724
Epoch [10/20], Step [300/782], Loss: 0.1748
Epoch [10/20], Step [400/782], Loss: 0.1929
Epoch [10/20], Step [500/782], Loss: 0.2089
Epoch [10/20], Step [600/782], Loss: 0.2168
Epoch [10/20], Step [700/782], Loss: 0.2131
Epoch [10/20] completed. Training Accuracy: 96.08%
Epoch [11/20], Step [100/782], Loss: 0.1248
Epoch [11/20], Step [200/782], Loss: 0.1163
Epoch [11/20], Step [300/782], Loss: 0.1341
Epoch [11/20], Step [400/782], Loss: 0.1401
Epoch [11/20], Step [500/782], Loss: 0.1541
Epoch [11/20], Step [600/782], Loss: 0.1536
Epoch [11/20], Step [700/782], Loss: 0.1676
Epoch [11/20] completed. Training Accuracy: 96.44%
Epoch [12/20], Step [100/782], Loss: 0.1067
Epoch [12/20], Step [200/782], Loss: 0.0999
Epoch [12/20], Step [300/782], Loss: 0.1002
Epoch [12/20], Step [400/782], Loss: 0.1065
Epoch [12/20], Step [500/782], Loss: 0.1117
Epoch [12/20], Step [600/782], Loss: 0.1210
Epoch [12/20], Step [700/782], Loss: 0.1468
Epoch [12/20] completed. Training Accuracy: 97.11%
Epoch [13/20], Step [100/782], Loss: 0.0811
Epoch [13/20], Step [200/782], Loss: 0.0759
Epoch [13/20], Step [300/782], Loss: 0.0690
Epoch [13/20], Step [400/782], Loss: 0.0951
Epoch [13/20], Step [500/782], Loss: 0.1050
Epoch [13/20], Step [600/782], Loss: 0.1096
Epoch [13/20], Step [700/782], Loss: 0.1221
Epoch [13/20] completed. Training Accuracy: 97.27%
Epoch [14/20], Step [100/782], Loss: 0.0645
Epoch [14/20], Step [200/782], Loss: 0.0650
Epoch [14/20], Step [300/782], Loss: 0.0854
Epoch [14/20], Step [400/782], Loss: 0.0808
Epoch [14/20], Step [500/782], Loss: 0.1045
Epoch [14/20], Step [600/782], Loss: 0.0991
Epoch [14/20], Step [700/782], Loss: 0.0901
Epoch [14/20] completed. Training Accuracy: 97.73%
Epoch [15/20], Step [100/782], Loss: 0.0899
Epoch [15/20], Step [200/782], Loss: 0.0689
Epoch [15/20], Step [300/782], Loss: 0.0752
Epoch [15/20], Step [400/782], Loss: 0.0754
Epoch [15/20], Step [500/782], Loss: 0.0724
Epoch [15/20], Step [600/782], Loss: 0.0722
Epoch [15/20], Step [700/782], Loss: 0.0822
Epoch [15/20] completed. Training Accuracy: 97.85%
Epoch [16/20], Step [100/782], Loss: 0.0572
Epoch [16/20], Step [200/782], Loss: 0.0550
Epoch [16/20], Step [300/782], Loss: 0.0618
Epoch [16/20], Step [400/782], Loss: 0.0614
Epoch [16/20], Step [500/782], Loss: 0.0791
Epoch [16/20], Step [600/782], Loss: 0.0756
Epoch [16/20], Step [700/782], Loss: 0.0791
Epoch [16/20] completed. Training Accuracy: 96.96%
Epoch [17/20], Step [100/782], Loss: 0.0539
Epoch [17/20], Step [200/782], Loss: 0.0408
Epoch [17/20], Step [300/782], Loss: 0.0517
Epoch [17/20], Step [400/782], Loss: 0.0659
Epoch [17/20], Step [500/782], Loss: 0.0768
Epoch [17/20], Step [600/782], Loss: 0.0903
Epoch [17/20], Step [700/782], Loss: 0.0926
Epoch [17/20] completed. Training Accuracy: 98.11%
Epoch [18/20], Step [100/782], Loss: 0.0624
Epoch [18/20], Step [200/782], Loss: 0.0464
Epoch [18/20], Step [300/782], Loss: 0.0548
Epoch [18/20], Step [400/782], Loss: 0.0584
Epoch [18/20], Step [500/782], Loss: 0.0709
Epoch [18/20], Step [600/782], Loss: 0.0629
Epoch [18/20], Step [700/782], Loss: 0.0677
Epoch [18/20] completed. Training Accuracy: 97.69%
Epoch [19/20], Step [100/782], Loss: 0.0509
Epoch [19/20], Step [200/782], Loss: 0.0363
Epoch [19/20], Step [300/782], Loss: 0.0456
Epoch [19/20], Step [400/782], Loss: 0.0506
Epoch [19/20], Step [500/782], Loss: 0.0523
Epoch [19/20], Step [600/782], Loss: 0.0470
Epoch [19/20], Step [700/782], Loss: 0.0724
Epoch [19/20] completed. Training Accuracy: 98.39%
Epoch [20/20], Step [100/782], Loss: 0.0557
Epoch [20/20], Step [200/782], Loss: 0.0435
Epoch [20/20], Step [300/782], Loss: 0.0326
Epoch [20/20], Step [400/782], Loss: 0.0702
Epoch [20/20], Step [500/782], Loss: 0.0528
Epoch [20/20], Step [600/782], Loss: 0.0561
Epoch [20/20], Step [700/782], Loss: 0.0758
Epoch [20/20] completed. Training Accuracy: 98.52%
Training finished.
